Time,Cars_inside,Total_spaces,Free_spaces,Air_value,Gate_status
11:42:12,0,10,10,39,ALLOW
11:42:13,0,10,10,38,ALLOW
11:42:14,0,10,10,38,ALLOW
11:42:15,0,10,10,38,ALLOW
11:42:16,0,10,10,38,ALLOW
11:42:17,0,10,10,38,ALLOW
11:42:18,0,10,10,38,ALLOW
11:42:19,0,10,10,38,ALLOW
11:42:20,1,10,9,38,ALLOW
11:42:21,1,10,9,38,ALLOW
11:42:22,2,10,8,38,ALLOW
11:42:23,2,10,8,38,ALLOW
11:42:24,2,10,8,37,ALLOW
11:42:25,3,10,7,38,ALLOW
11:42:26,3,10,7,38,ALLOW
11:42:27,3,10,7,38,ALLOW
11:42:28,4,10,6,38,ALLOW
11:42:29,4,10,6,38,ALLOW
11:42:30,3,10,7,38,ALLOW
11:42:31,3,10,7,38,ALLOW
11:42:32,3,10,7,38,ALLOW
11:42:33,4,10,6,38,ALLOW
11:42:34,4,10,6,38,ALLOW
11:42:35,5,10,5,38,ALLOW
11:42:36,5,10,5,38,ALLOW
11:42:37,6,10,4,38,ALLOW
11:42:38,6,10,4,37,ALLOW
11:42:39,7,10,3,38,ALLOW
11:42:40,7,10,3,37,ALLOW
11:42:41,7,10,3,38,ALLOW
11:42:42,7,10,3,38,ALLOW
11:42:43,7,10,3,38,ALLOW
11:42:44,7,10,3,38,ALLOW
11:42:45,7,10,3,38,ALLOW
11:42:46,7,10,3,38,ALLOW
11:42:47,7,10,3,38,ALLOW
11:42:48,8,10,2,39,ALLOW
11:42:49,8,10,2,38,ALLOW
11:42:50,8,10,2,38,ALLOW
11:42:51,8,10,2,37,ALLOW
11:42:52,8,10,2,38,ALLOW
11:42:53,8,10,2,38,ALLOW
11:42:54,7,10,3,37,ALLOW
11:42:55,7,10,3,38,ALLOW
11:42:56,8,10,2,38,ALLOW
11:42:57,8,10,2,38,ALLOW
11:42:58,8,10,2,38,ALLOW
11:42:59,8,10,2,38,ALLOW
11:43:00,8,10,2,38,ALLOW
11:43:01,8,10,2,38,ALLOW
11:43:02,8,10,2,38,ALLOW
11:43:03,8,10,2,38,ALLOW
11:43:04,8,10,2,38,ALLOW
11:43:05,8,10,2,38,ALLOW
11:43:06,8,10,2,38,ALLOW
11:43:07,8,10,2,37,ALLOW
11:43:08,8,10,2,38,ALLOW
11:43:09,8,10,2,38,ALLOW
11:43:10,8,10,2,38,ALLOW
11:43:11,8,10,2,38,ALLOW
11:43:12,8,10,2,38,ALLOW
11:43:13,8,10,2,38,ALLOW
11:43:14,8,10,2,38,ALLOW
11:43:15,8,10,2,38,ALLOW
11:43:16,8,10,2,38,ALLOW
11:43:17,8,10,2,40,ALLOW
11:43:18,8,10,2,39,ALLOW
11:43:19,8,10,2,39,ALLOW
11:43:20,8,10,2,39,ALLOW
11:43:21,8,10,2,40,ALLOW
11:43:22,8,10,2,39,ALLOW
11:43:23,8,10,2,39,ALLOW
11:43:24,8,10,2,39,ALLOW
11:43:25,8,10,2,40,ALLOW
11:43:26,8,10,2,40,ALLOW
11:43:27,8,10,2,40,ALLOW
11:43:28,8,10,2,40,ALLOW
11:43:29,8,10,2,39,ALLOW
11:43:30,8,10,2,40,ALLOW
11:43:31,8,10,2,40,ALLOW
11:43:32,8,10,2,40,ALLOW
11:43:33,8,10,2,41,ALLOW
11:43:34,8,10,2,41,ALLOW
11:43:35,8,10,2,41,ALLOW
11:43:36,8,10,2,40,ALLOW
11:43:37,8,10,2,41,ALLOW
11:43:38,8,10,2,40,ALLOW
11:43:39,8,10,2,40,ALLOW
11:43:40,8,10,2,40,ALLOW
11:43:41,8,10,2,40,ALLOW
11:43:42,8,10,2,40,ALLOW
11:43:43,8,10,2,40,ALLOW
11:43:44,8,10,2,40,ALLOW
11:43:45,8,10,2,40,ALLOW
11:43:46,8,10,2,40,ALLOW
11:43:47,8,10,2,41,ALLOW
11:43:48,8,10,2,40,ALLOW
11:43:49,8,10,2,40,ALLOW
11:43:50,8,10,2,40,ALLOW
11:43:51,8,10,2,40,ALLOW
11:43:52,8,10,2,40,ALLOW
11:43:53,8,10,2,41,ALLOW
11:43:54,8,10,2,40,ALLOW
11:43:55,8,10,2,40,ALLOW
11:43:56,8,10,2,40,ALLOW
11:43:57,8,10,2,40,ALLOW
11:43:58,8,10,2,40,ALLOW
11:43:59,8,10,2,39,ALLOW
11:44:00,8,10,2,40,ALLOW
11:44:01,8,10,2,39,ALLOW
11:44:02,8,10,2,40,ALLOW
11:44:03,8,10,2,40,ALLOW
11:44:04,8,10,2,40,ALLOW
11:44:05,8,10,2,39,ALLOW
11:44:06,8,10,2,39,ALLOW
11:44:07,8,10,2,40,ALLOW
11:44:08,8,10,2,39,ALLOW
11:44:09,8,10,2,40,ALLOW
11:44:10,8,10,2,39,ALLOW
11:44:11,8,10,2,40,ALLOW
11:44:12,8,10,2,39,ALLOW
11:44:13,8,10,2,39,ALLOW
11:44:14,8,10,2,39,ALLOW
11:44:15,8,10,2,39,ALLOW
11:44:16,8,10,2,40,ALLOW
11:44:17,8,10,2,40,ALLOW
11:44:18,8,10,2,40,ALLOW
11:44:19,8,10,2,41,ALLOW
11:44:20,8,10,2,40,ALLOW
11:44:21,8,10,2,40,ALLOW
11:44:22,8,10,2,40,ALLOW
11:44:23,8,10,2,40,ALLOW
11:44:24,7,10,3,40,ALLOW
11:44:25,7,10,3,40,ALLOW
11:44:26,7,10,3,40,ALLOW
11:44:27,7,10,3,40,ALLOW
11:44:28,7,10,3,40,ALLOW
11:44:29,7,10,3,40,ALLOW
11:44:30,7,10,3,40,ALLOW
11:44:31,7,10,3,40,ALLOW
11:44:32,7,10,3,41,ALLOW
11:44:33,7,10,3,41,ALLOW
